rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
483,Pandemic: The Cure,6.957,7.25,,49.99,2014
484,Dead Reckoning,6.956,8.23,,,2022
485,Dawn of the Zeds (Third Edition),6.954,8.17,,,2016
486,Citadels,6.954,7.26,,69.95,2016
487,Charterstone,6.953,7.23,,51.91,2017
488,Risk Legacy,6.952,7.37,,94.99,2011
489,No Thanks!,6.952,7.07,,9.99,2004
490,"Air, Land, & Sea",6.952,7.46,,,2019
491,Exit: The Game – Dead Man on the Orient Express,6.951,7.57,,14.1,2017
492,Citadels,6.951,7.07,,27.74,2000
493,Sheriff of Nottingham,6.949,7.08,,120.25,2014
494,Deus,6.948,7.28,,29.9,2014
495,Zombie Kidz Evolution,6.948,7.65,,24.99,2018
496,Lords of Vegas,6.947,7.35,,99.99,2010
497,Foundations of Rome,6.947,8.03,,,2022
498,Forbidden Desert,6.947,7.09,,26.95,2013
499,Fantastic Factories,6.946,7.46,,,2019
500,Blood Bowl (Third Edition),6.946,7.55,,,1994
